source,url,title,search_term,content,categories,date_scraped
Wikipedia,https://en.wikipedia.org/wiki/African_diaspora_religions,African diaspora religions,African diaspora,"African diaspora religions, also described as Afro-American religions, are a number of related beliefs that developed in the Americas in various areas of the Caribbean, Latin America, and the Southern United States. They derive from traditional African religions with some influence from other religious traditions, notably Christianity and Islam. Afro-American religions involve ancestor veneration and include a creator deity along with a pantheon of divine spirits such as the Orisha, Loa, Vodun, Nkisi, and Alusi, among others. In addition to the religious syncretism of these various African traditions, many also incorporate elements of folk Catholicism including folk saints and other forms of folk religion, Native American religion, Spiritism, Spiritualism, Shamanism (sometimes including the use of Entheogens), and European folklore.",Afro-American religion,2025-06-22 19:12:26
Wikipedia,https://en.wikipedia.org/wiki/Indian_diaspora_in_Africa,Indian diaspora in Africa,African diaspora,"Migration from India into Africa pre-dates European colonization. The number of Indians in Africa increased greatly with the settlement of Indians in Africa as indentured servants during colonization, and has continued to increase into the 21st century. India and Africa have over a three thousand-year history of cultural and commercial relations. Sources from India show evidence of trade and contact between the Dravidians and Babylonians dating back to the 7th century B.C. This evidence has been interpreted to understand Indian merchants and sailors having visited Southern Arabia, situated on the Eastern part of the Horn of Africa also known as the Somali peninsula. Additionally, Indian coastal communities developed profitable ties with East Africa, East Asia, and Central Asia in pre-colonial times. The ‘trade diaspora’ was unique as it consisted largely of ‘temporary’ and ‘circular’ migration. Men were sent to look for trade elsewhere but expected to eventually return to their motherl",Indian diaspora in Africa,2025-06-22 19:12:27
Wikipedia,https://en.wikipedia.org/wiki/South_African_diaspora,South African diaspora,African diaspora,"The South African diaspora consists of South African emigrants and their descendants living outside South Africa. The largest concentrations of South African emigrants are to be found in the United Kingdom, Australia, the United States and the United Arab Emirates. At the time of the 2021 United Kingdom census, 217,180 residents of England and Wales were born in South Africa. In Australia, there were 189,207 South African-born people living in the country at the moment of the 2021 Census. The 2021 American Community Survey identified 123,461 South African-born residents of the country. According to the data compiled by Statistics South Africa, between 2006 and 2016 the most popular overseas destinations for South African émigrés were: 1. Australia (26.0%), 2. United Kingdom (25.0%), 3. United States (13.4%), 4. New Zealand (9.5%), 5. Germany (6.0%), 6. American Samoa (United States territory) (4.4%), 7. United Arab Emirates (4.2%), 8. Cuba (4.0%), 9. Canada (3.0%), and 10. China (2.0%)",South African diaspora,2025-06-22 19:12:28
Wikipedia,https://en.wikipedia.org/wiki/Music_of_the_African_diaspora,Music of the African diaspora,African diaspora,"Music of the African diaspora is a sound created, produced, or inspired by Black people, including African music traditions and African popular music as well as the music genres of the African diaspora, including some Caribbean music, Latin music, Brazilian music and African-American music. Music of the African diaspora was mostly refined and developed during the period of slavery. Slaves did not have easy access to instruments, so vocal work took on new significance. Through chants and work songs people of African descent preserved elements of their African heritage while inventing new genres of music. The culmination of this great sublimation of musical energy into vocal work can be seen in genres as disparate as Gospel Music and Hip-Hop. The music of the African diaspora makes frequent use of ostinato, a motif or phrase which is persistently repeated at the same pitch. The repeating idea may be a rhythmic pattern, part of a tune, or a complete melody. The banjo is a direct descendan","Music of the African diaspora, African-American music, Traditional music, Popular music",2025-06-22 19:12:29
Wikipedia,https://en.wikipedia.org/wiki/African-American_diaspora,African-American diaspora,African diaspora,The African-American diaspora refers to communities of people of African descent who previously lived in the United States. These people were mainly descended from formerly enslaved African persons in the United States or its preceding European colonies in North America that had been brought to America via the Atlantic slave trade and had suffered in slavery until the American Civil War. The African-American diaspora was primarily caused by the intense racism and views of being inferior to white people that African Americans have suffered through driving them to find new homes free from discrimination and racism. This would become common throughout the history of the African-American presence in the United States and continues to this day. The spreading of the African American diaspora would begin as soon as slaves were brought over to the New World and would first become a large movement during the American Revolution and into the 19th century by escaping slave owners for a chance at ,African-American diaspora,2025-06-22 19:12:31
Wikipedia,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Africa,History of the Jews in Africa,African diaspora,"African Jewish communities include: The most ancient communities of African Jews are the Ethiopian, West African Jews, Sephardi Jews, and Mizrahi Jews of North Africa and the Horn of Africa.",History of the Jews in Africa,2025-06-22 19:12:32
Wikipedia,https://en.wikipedia.org/wiki/African_diaspora_in_the_Americas,African diaspora in the Americas,African diaspora,"The African diaspora in the Americas refers to the people born in the Americas with partial, predominant, or complete sub-Saharan African ancestry. Many are descendants of persons enslaved in Africa and transferred to the Americas by Europeans, then forced to work mostly in European-owned mines and plantations, between the sixteenth and nineteenth centuries. Significant groups have been established in the United States (African Americans), in Canada (Black Canadians), in the Caribbean (Afro-Caribbean), and in Latin America (Afro-Latin Americans). After the United States achieved independence, next came the independence of Haiti, a country populated almost entirely by people of African descent and the second American colony to win its independence from European colonial powers. After the process of independence, many countries have encouraged European immigration to America, thus reducing the proportion of black and mulatto population throughout the country: Brazil, the United States, a","African diaspora in North America, African diaspora in South America, Ethnic groups in the Americas, People of African descent, Slavery in North America",2025-06-22 19:12:33
Wikipedia,https://en.wikipedia.org/wiki/African_diaspora_in_Finland,African diaspora in Finland,African diaspora,"The African diaspora in Finland (Finnish: afrikkalaisten diaspora Suomessa) refers to the residents of Finland of full or partial African ancestry, mostly from Sub-Saharan Africa. As of 2024[update], there were 54,046 people born in Africa living in Finland. Similarly, the number of people with African background[a] (Africans in Finland; Suomen afrikkalaiset) was 75,953. The distinct adjacent term Afro-Finns (afrosuomalaiset), also referred to as Black Finns (mustat suomalaiset), can be used for Finns whose lineages are fully or partly in the populations of Sub-Saharan Africa (""Black Africa""). Afro-Finns have lived in Finland since the 19th century. In 2009, according to Yle, there were an estimated 20,000 Afro-Finns in Finland, and according to Statistics Finland, the total number of people in Finland with a close Sub-Saharan African background[d] was 62,759 in 2024.","Finnish people of African descent, African diaspora in Europe, Ethnic groups in Finland",2025-06-22 19:12:35
Wikipedia,https://en.wikipedia.org/wiki/Diaspora,Diaspora,African diaspora,"A diaspora (/daɪˈæspərə/ dy-ASP-ər-ə) is a population that is scattered across regions which are separate from its geographic place of origin. The word is used in reference to people who identify with a specific geographic location, but currently reside elsewhere. Notable diasporic populations include the Jewish Diaspora formed after the Babylonian exile; Assyrian diaspora following the Assyrian genocide; Greeks that fled or were displaced following the fall of Constantinople and the later Greek genocide as well as the Istanbul pogroms; the emigration of Anglo-Saxons (primarily to the Byzantine Empire) after the Norman Conquest of England; the southern Chinese and South Asians who left their homelands during the 19th and 20th centuries; the Irish diaspora after the Great Famine; the Scottish diaspora that developed on a large scale after the Highland and Lowland Clearances; Romani from the Indian subcontinent; the Italian diaspora, the Mexican diaspora; the Circassian diaspora in the a","Diasporas, Diaspora studies",2025-06-22 19:12:37
Wikipedia,https://en.wikipedia.org/wiki/Caribbean_people,Caribbean people,Caribbean people,"Caribbean people are the people born in or inhabitants of the Caribbean region or people of Caribbean descent living outside the Caribbean. The Caribbean region was initially populated by Amerindians from several different Kalinago and Taino groups. These groups were decimated by a combination of enslavement and disease brought by European colonizers. Descendants of the Taino and Kalinago tribes exist today in the Caribbean and elsewhere but are usually of partial Amerindian ancestry. Modern Caribbean people usually further identify by their own specific ethnic ancestry, therefore constituting various subgroups, of which are: Afro-Caribbean (largely descendants of bonded African slaves), Multiracial Caribbean (descendants of two or more ethnicities, such as Mulattos, Mestizos and Douglas), Hispanic/Latino-Caribbean (Spanish-speaking Caribbean people who largely descend from solely or a mixture of Spaniards, West Africans and Taino peoples), White Caribbean (largely descendants of Europ","Caribbean people, Caribbean diaspora, Ethnic groups in the Caribbean",2025-06-22 19:12:40
Wikipedia,https://en.wikipedia.org/wiki/Indo-Caribbean_people,Indo-Caribbean people,Caribbean people,"Indo-Caribbean or Indian-Caribbean people are people from the Caribbean who trace their ancestry to the Indian subcontinent. They are descendants of the Jahaji indentured laborers from British India, who were brought by the British, Dutch, and French during the colonial era from the mid-19th century to the early 20th century. Indo-Caribbean people largely trace their ancestry back to the Bhojpur and Awadh regions of the Hindi Belt and the Bengal region in North India, in the present-day states of Uttar Pradesh, Bihar, Bengal and Jharkhand, with a significant minority coming from the Madras Presidency in South India, especially present-day Tamil Nadu and Andhra Pradesh. Other notable regions of origin include Western Uttar Pradesh, Mithila, Magadh, Chota Nagpur, Madhya Pradesh, Haryana, Rajasthan, Pashtunistan, Punjab, Sindh, Kutch, Gujarat, Maharashtra, and Kashmir. Most Indians in the French West Indies are of South Indian origin and Indians in Barbados are mostly of Bengali and Gujar","Caribbean people of Indian descent, Ethnic groups in the Caribbean, Indian diaspora in the Caribbean",2025-06-22 19:12:42
Wikipedia,https://en.wikipedia.org/wiki/Afro-Caribbean_people,Afro-Caribbean people,Caribbean people,"Afro-Caribbean or African Caribbean people are Caribbean people who trace their full or partial ancestry to Sub-Saharan Africa. The majority of the modern Afro-Caribbean people descend from the Africans (primarily from West and Central Africa) taken as slaves to colonial Caribbean via the trans-Atlantic slave trade between the 15th and 19th centuries to work primarily on various sugar plantations and in domestic households. Other names for the ethnic group include Black Caribbean, Afro- or Black West Indian, or Afro- or Black Antillean. The term West Indian Creole has also been used to refer to Afro-Caribbean people, as well as other ethnic and racial groups in the region, though there remains debate about its use to refer to Afro-Caribbean people specifically. The term Afro-Caribbean was not coined by Caribbean people themselves but was first used by European Americans in the late 1960s. People of Afro-Caribbean descent today are largely of West African and Central African ancestry, a","African diaspora in the Caribbean, Caribbean people of African descent, Ethnic groups in the Caribbean",2025-06-22 19:12:43
Wikipedia,https://en.wikipedia.org/wiki/White_Caribbean_people,White Caribbean people,Caribbean people,White Caribbean or European Caribbean is the term for people who are born in the Caribbean whose ancestors are from Europe or people who emigrated to the Caribbean from Europe and had acquired citizenship in their respective Caribbean countries. White Caribbean people include: The first Europeans to arrive in the Caribbean were Spaniards who discovered Hispaniola. Many white people in the Caribbean owned Afro-Caribbean slaves. Many whites came to the Caribbean during the colonial era.[citation needed],"Ethnic groups in the Caribbean, European diaspora in the Caribbean",2025-06-22 19:12:44
Wikipedia,https://en.wikipedia.org/wiki/British_African-Caribbean_people,British African-Caribbean people,Caribbean people,"British African-Caribbean people or British Afro-Caribbean people are an ethnic group in the United Kingdom. They are British citizens or residents of recent Caribbean heritage who further trace much of their ancestry to West and Central Africa. This includes multi-racial Afro-Caribbean people. The earliest generations of Afro-Caribbean people to migrate to Britain trace their ancestry to a wide range of Afro-Caribbean ethnic groups, who themselves descend from the disparate African ethnic groups transported to the colonial Caribbean as part of the trans-Atlantic slave trade. British African Caribbeans may also have ancestry from European and Asian settlers, as well as from various Indigenous peoples of the Caribbean. The population includes those with origins in Jamaica, Trinidad and Tobago, The Bahamas, Saint Kitts and Nevis, Barbados, Grenada, Antigua and Barbuda, Saint Lucia, Dominica, Montserrat, British Virgin Islands, Turks and Caicos Islands, Cayman Islands, Anguilla, Saint Vin","African diaspora in the Caribbean, Black British people, British people of West Indian descent, Caribbean diaspora in the United Kingdom, African secondary diaspora",2025-06-22 19:12:46
Wikipedia,https://en.wikipedia.org/wiki/Chinese_Caribbean_people,Chinese Caribbean people,Caribbean people,Varieties of Chinese: Chinese Caribbean people (sometimes Sino-Caribbean people ) are people who are of predominately of Han Chinese ethnic origins living throughout the Caribbean. There are small but significant populations of Chinese and their descendants in all countries of the Greater Antilles. This diaspora migrants stretch back as far back as the mid-19th century. They are all part of the large global Chinese diaspora known as Overseas Chinese. Caribbean Islands:,"Chinese diaspora in the Caribbean, Ethnic groups in the Caribbean, Chinese diaspora, Caribbean people of Chinese descent",2025-06-22 19:12:47
Wikipedia,https://en.wikipedia.org/wiki/Indigenous_peoples_of_the_Caribbean,Indigenous peoples of the Caribbean,Caribbean people,"At the time of first contact between Europe and the Americas, the Indigenous peoples of the Caribbean included the Taíno of the northern Lesser Antilles, most of the Greater Antilles and the Bahamas, the Kalinago of the Lesser Antilles, the Ciguayo and Macorix of parts of Hispaniola, and the Guanahatabey of western Cuba. The Kalinago have maintained an identity as an Indigenous people, with a reserved territory in Dominica. Some scholars consider it important to distinguish the Taíno from the neo-Taíno nations of Cuba, Puerto Rico, and Hispaniola, and the Lucayan of the Bahamas and Jamaica. Linguistically or culturally these differences extended from various cognates or types of canoe: canoa, piragua, cayuco to distinct languages. Languages diverged even over short distances. Previously these groups often had distinctly non-Taíno deities such as the goddess Jagua. Strangely enough the god Teju Jagua is a major demon of Indigenous Paraguayan mythology. Still these groups plus the high T",Indigenous peoples of the Caribbean,2025-06-22 19:12:49
Wikipedia,https://en.wikipedia.org/wiki/Asian_Caribbean_people,Asian Caribbean people,Caribbean people,"Asian Caribbean people are Caribbean people who trace their full or a partial ancestry to Asia. The majority of the modern Asian Caribbean populations were the result of indentured labourers that were brought to the colonial Caribbean after the abolition of slavery to work in mines, sugar plantations, etc. as replacements of African slaves. People of Asian Caribbean descent are mainly South Asian and East Asian and additionally may be of other origins including South East Asian and West Asian. Besides the colonial languages, some Asian Caribbean people where able to preserve their languages. The Asian Caribbean diaspora is also spread throughout western countries such as Canada, The Netherlands, The United Kingdom and The United States. Asian Caribbeans don't have a predominant religion and are mainly divided between religions such as Hinduism, Islam, Buddhism and Christianity.","Asian diaspora in the Caribbean, Caribbean people of Asian descent, Ethnic groups in the Caribbean, Asian ethnic group stubs",2025-06-22 19:12:50
Wikipedia,https://en.wikipedia.org/wiki/German_Caribbean_people,German Caribbean people,Caribbean people,"German Caribbean people are people who live in the Caribbean, but come from Germany, or are descended from Germans. German Caribbean people include:","Disambiguation pages, German diaspora in the Caribbean, Ethnic groups in the Caribbean",2025-06-22 19:12:51
Wikipedia,https://en.wikipedia.org/wiki/Caribbean,Caribbean,Caribbean people,"The Caribbean (/ˌkærɪˈbiːən, kəˈrɪbiən/ KARR-ih-BEE-ən, kə-RIB-ee-ən, locally /ˈkærɪbiæn/ KARR-ih-bee-an; Spanish: el Caribe; French: les Caraïbes; Dutch: de Caraïben) is a region in the middle of the Americas centered around the Caribbean Sea in the North Atlantic Ocean, mostly overlapping with the West Indies. Bordered by North America to the north, Central America to the west, and South America to the south, it comprises numerous islands, cays, islets, reefs, and banks. It includes the Lucayan Archipelago, Greater Antilles, and Lesser Antilles of the West Indies; the Quintana Roo islands and Belizean islands of the Yucatán Peninsula; and the Bay Islands, Miskito Cays, Archipelago of San Andrés, Providencia, and Santa Catalina, Corn Islands, and San Blas Islands of Central America. It also includes the coastal areas on the continental mainland of the Americas bordering the region from the Yucatán Peninsula in North America through Central America to the Guianas in South America. Situ",Caribbean,2025-06-22 19:12:53
Wikipedia,https://en.wikipedia.org/wiki/Black_History_Month,Black History Month,Black history,"Black History Month is an annually observed commemorative month originating in the United States, where it is also known as African-American History Month. It began as a way of remembering important people and events in the history of the African diaspora, initially lasting a week before becoming a month-long observation since 1970. It is celebrated in February in the United States and Canada, where it has received official recognition from governments, and more recently has also been celebrated in Ireland and the United Kingdom where it is observed in October. The precursor to Black History Month was created in 1926 in the United States, when historian Carter G. Woodson and the Association for the Study of Negro Life and History (ASNLH) announced the second week of February to be ""Negro History Week"". This week was chosen because it coincided with the birthday of Abraham Lincoln on February 12 and that of Frederick Douglass on February 14, both of which Black communities had celebrate","1976 introductions, African-American events, Black British history, Commemorative months, February observances",2025-06-22 19:12:58
Wikipedia,https://en.wikipedia.org/wiki/Black_Twitter:_A_People's_History,Black Twitter: A People's History,Black history,Black Twitter: A People's History is a 2024 documentary film series about the history of Black Twitter. The series is produced by Onyx Collective. The three-part docuseries is based on Jason Parham's 2021 Wired story and was directed by Prentice Penny.,"Onyx Collective original programming, 2020s American documentary television series, 2024 American television series debuts",2025-06-22 19:12:59
Wikipedia,https://en.wikipedia.org/wiki/DuSable_Black_History_Museum,DuSable Black History Museum,Black history,"The DuSable Black History Museum and Education Center, formerly the DuSable Museum of African American History, is a museum in Chicago that is dedicated to the study and conservation of African-American history, culture, and art named after Jean Baptiste Point du Sable. It was founded in 1961 by Margaret Taylor-Burroughs, her husband Charles Burroughs, Gerard Lew, Eugene Feldman, Bernard Goss, Marian M. Hadley, and others. They established the museum to celebrate black culture, at the time overlooked by most museums and academic establishments. The museum has an affiliation with the Smithsonian Institution. The DuSable Black History Museum was chartered on February 16, 1961. Its origins as the Ebony Museum of Negro History and Art began in the work of Margaret and Charles Burroughs, Bernard Goss, and others to correct the perceived omission of black history and culture in the education establishment. The museum was originally located on the ground floor of the Burroughses' home at 3806","Museums in Chicago, African-American museums in Illinois, African-American history in Chicago, South Side, Chicago, Museums established in 1961",2025-06-22 19:13:00
Wikipedia,https://en.wikipedia.org/wiki/African-American_history,African-American history,Black history,"African-American history started with the forced transportation of Africans to North America in the 16th and 17th centuries. The European colonization of the Americas, and the resulting Atlantic slave trade, encompassed a large-scale transportation of enslaved Africans across the Atlantic. Of the roughly 10–12 million Africans who were sold in the Atlantic slave trade, either to Europe or the Americas, approximately 388,000 were sent to North America. After arriving in various European colonies in North America, the enslaved Africans were sold to white colonists, primarily to work on cash crop plantations. A group of enslaved Africans arrived in the English Virginia Colony in 1619, marking the beginning of slavery in the colonial history of the United States; by 1776, roughly 20% of the British North American population was of African descent, both free and enslaved. During the American Revolutionary War, in which the Thirteen Colonies gained independence and began to form the United S","African-American history, African diaspora history, History by ethnic group, History of the Southern United States, History of ethnic groups in the United States",2025-06-22 19:13:02
Wikipedia,https://en.wikipedia.org/wiki/Black_players_in_ice_hockey,Black players in ice hockey,Black history,"The history of black players in North American ice hockey has roots dating back to the late 19th century. The first black ice hockey star was Herb Carnegie during the Great Depression. Willie O'Ree broke the NHL's color barrier with the Boston Bruins in 1958.[note 1] The Colored Hockey League of the Maritimes began in 1895, as an initiative of black Baptist churches in Nova Scotia. The aim was to increase and retain male membership. The league consisted of teams from Halifax, Africville, Hammond's Plains, Dartmouth, Truro, Amherst, and Charlottetown, P.E.I. All games were on an invitational basis with the trophy still residing in a private home in Halifax, Nova Scotia. Historically, they were the first league to allow the goaltender to drop to the ice to stop the puck. Ontario is geographically large, and it was impossible in the early 20th century to organize an all-black league like in Nova Scotia. Some of the early black players in Ontario ice hockey history included Hipple Galloway","African-American sports history, History of Black people in Canada, African-American ice hockey players, Black Canadian ice hockey players, Black ice hockey players",2025-06-22 19:13:03
Wikipedia,https://en.wikipedia.org/wiki/Afro–Puerto_Ricans,Afro–Puerto Ricans,Black history,"Afro–Puerto Ricans (Spanish: Afropuertorriqueños), most commonly known as Afroboricuas, but also occasionally referred to as Afroborinqueños, Afroborincanos,[a] or Afropuertorros,[b] are Puerto Ricans of full or partial sub-Saharan African origin, who are predominately the descendants of slaves, freedmen, and free Blacks original to West and Central Africa. The term Afro-Puerto Rican is also used to refer to historical or cultural elements in Puerto Rican society associated with this community, including music, language, cuisine, art, and religion. The history of Afro-Puerto Ricans traces its origins to the arrival of free West African Black men, or libertos (freedmen), who accompanied Spanish Conquistador Juan Ponce de León at the start of the colonization of the island of Puerto Rico. Upon landing and settling, the Spaniards enslaved and exploited the indigenous Taíno natives to work in the extraction of gold. When the Taíno forced laborers were exterminated primarily due to Old Worl","African diaspora in Puerto Rico, Puerto Rican people of African descent, African diaspora history, African–Hispanic and Latino American relations, Ethnic groups in Puerto Rico",2025-06-22 19:13:05
Wikipedia,https://en.wikipedia.org/wiki/Black_nationalism,Black nationalism,Black history,"Black nationalism is a nationalist movement which seeks representation for Black people as a distinct national identity, especially in racialized, colonial and postcolonial societies. Its earliest proponents saw it as a way to advocate for democratic representation in culturally plural societies or to establish self-governing independent nation-states for Black people. Modern Black nationalism often aims for the social, political, and economic empowerment of Black communities within white majority societies, either as an alternative to assimilation or as a way to ensure greater representation and equality within predominantly Eurocentric cultures. As an ideology, Black nationalism encompasses a diverse range of beliefs which have variously included forms of economic, political and cultural nationalism, or pan-nationalism. It often overlaps with, but is distinguished from, similar concepts and movements such as Pan-Africanism, Ethiopianism, the back-to-Africa movement (aka Black Zionism","African and Black nationalism, Black Power, Black separatism, Ethnic nationalism",2025-06-22 19:13:07
