source,url,title,search_term,content,categories,key_dates,sections,infobox,date_scraped
Wikipedia,https://en.wikipedia.org/wiki/Kendrick_Lamar,Kendrick Lamar,Kendrick Lamar,"Kendrick Lamar Duckworth (born June 17, 1987) is an American rapper, singer, songwriter and record producer. Regarded as one of the greatest rappers of all time, he was awarded the 2018 Pulitzer Prize for Music, becoming the first musician outside of the classical and jazz genres to receive the award. Born in Compton, California, Lamar began releasing music under the stage name K.Dot while attending high school. He signed with Top Dawg Entertainment (TDE) in 2005 and co-founded the hip hop supergroup Black Hippy there. Following the 2011 release of his alternative rap debut album Section.80, Lamar secured a joint contract with Dr. Dre's Aftermath Entertainment and Interscope Records. He rose to prominence with his gangsta rap-influenced second album Good Kid, M.A.A.D City (2012), which became the longest-charting hip hop studio album in Billboard 200 history; Rolling Stone named it the greatest concept album of all time. In 2015, Lamar scored his first Billboard Hot 100 number-one single, after featuring on the remix of Taylor Swift's ""Bad Blood"", and released his third album, To Pimp a Butterfly (2015), which infused hip-hop with historical African-American music genres such as jazz, funk, and soul, and became his first of six consecutive number-one albums on the Billboard 200. Lamar's critical and commercial success continued with his R&B and pop-leaning fourth album Damn (2017), yielding his second US number one single, ""Humble"". He curated original songs for the soundtrack of the 2018 film Black Panther, earning a nomination for the Academy Award for Best Original Song for the US top ten single ""All the Stars"". His fifth album Mr. Morale & the Big Steppers (2022), delved into introspection and concluded his tenure with TDE and Aftermath. His 2024 feud with Drake and sixth album GNX (2024) spawned the US number-ones ""Like That"", ""Not Like Us"", ""Squabble Up"" and ""Luther"" with the second winning a joint-record five Grammy Awards, including Song of the Year and Reco","Kendrick Lamar, 1987 births, Living people, 21st-century African-American male singers, 21st-century American male singers, 21st-century American rappers, 21st-century American singer-songwriters, 21st-century American philanthropists, 21st-century African-American businesspeople, American music video directors","1987, 2018, 2005, 2011, 2012","Early life, Career, 2003–2008: Beginnings, 2009–2011: Overly Dedicated and Section.80, 2012–2013: Good Kid, M.A.A.D City","Born: Kendrick Lamar Duckworth (1987-06-17) June 17, 1987 (age 38)Compton, California, U.S. | Other names: K.Dot | Occupations: Rapper
songwriter
record producer | Years active: 2003–present | Organization: PGLang | Works: Albums[a]
singles
songs
videos
performances | Partner: Whitney Alford (eng. 2015) | Children: 2",2025-06-22 19:28:08
Wikipedia,https://en.wikipedia.org/wiki/Beyoncé,Beyoncé,Beyoncé,"Beyoncé Giselle Knowles-Carter (/biˈɒnseɪ/ ⓘ bee-ON-say; born September 4, 1981) is an American singer, songwriter, actress, and businesswoman. With a career spanning over three decades, she has established herself as one of the most culturally significant figures of the 21st century through her vocal ability, musical versatility, and live performances. Credited with revolutionizing the sound of popular music, Beyoncé is often deemed one of the most influential artists of all time. Beyoncé rose to fame in 1997 as a member of Destiny's Child, one of the best-selling girl groups of all time. Her debut solo album, Dangerously in Love (2003), became one of the best-selling albums of the 21st century, producing the U.S. Billboard Hot 100 number-one singles ""Crazy in Love"" and ""Baby Boy"". After Destiny's Child's disbandment in 2005, Beyoncé released the female empowerment-inspired set B'Day (2006), while her marriage to rapper Jay-Z and portrayal of Etta James in the biopic Cadillac Records (2008) influenced the pop- and electropop-imbued record I Am... Sasha Fierce (2008). The albums contained the U.S. number-one songs ""Check on It"", ""Irreplaceable"", and ""Single Ladies (Put a Ring on It)"". Forming the management company Parkwood Entertainment in 2010, Beyoncé explored traditional R&B on 4 (2011), electronic on Beyoncé (2013) and hip-hop on Lemonade (2016). Beyoncé is credited with popularizing the visual album and surprise album, while Lemonade was the best-selling album worldwide in 2016. Her ongoing trilogy project—currently consisting of the queer-inspired dance album Renaissance (2022) and Americana epic Cowboy Carter (2024)—highlighted the contributions of Black pioneers to American musical and cultural history, spawning the U.S. number-one singles ""Break My Soul"" and ""Texas Hold 'Em"". She voiced Nala in The Lion King (2019) and its sequel Mufasa: The Lion King (2024). Beyoncé is one of the best-selling music artists of all time, with estimated sales of over 200 mil","Beyoncé, 1981 births, Living people, 20th-century African-American businesspeople, 20th-century African-American women singers, 20th-century American businesswomen, 20th-century American singers, 21st-century African-American actresses, 21st-century African-American businesspeople, 21st-century African-American women singers","1981, 1997, 2003, 2005, 2006","Life and career, Early life, 1990–2001: Career beginnings and Destiny's Child, 2002–2007: Dangerously in Love, B'Day, and Dreamgirls, 2008–2009: I Am... Sasha Fierce and marriage","Born: Beyoncé Giselle Knowles (1981-09-04) September 4, 1981 (age 43)Houston, Texas, U.S. | Other names: Harmonies by the Hive[1]Queen Bey[2]Queen B[3]Third Ward Trill[4] | Occupations: Singer
songwriter
actress
businesswoman
philanthropist
producer
director | Years active: 1990–present | Organizations: BeyGood
Parkwood Entertainment
Ivy Park
Cécred
SirDavis | Works: Albums[a]singlessongsvideosperformances | Spouse: Jay-Z ​(m. 2008)​ | Children: 3, including Blue Ivy",2025-06-22 19:28:12
Wikipedia,https://en.wikipedia.org/wiki/Michael_Jackson,Michael Jackson,Michael Jackson,"Michael Joseph Jackson (August 29, 1958 – June 25, 2009) was an American singer, songwriter, dancer, and philanthropist. Dubbed the ""King of Pop"", he is regarded as one of the most culturally significant figures of the 20th century. Over a four-decade career, his music achievements broke racial barriers in America and made him a dominant figure across the world. Through songs, stages, and fashion, he proliferated visual performance for artists in popular music; popularizing street dance moves including the moonwalk, the robot, and the anti-gravity lean. Jackson is often deemed the greatest entertainer of all time based on his acclaim and records. The eighth child of the Jackson family, Michael made his public debut in 1964 at age six, as a member of the Jackson 5 (later known as the Jacksons). After signing with Motown in 1968, the band achieved worldwide success with him as its lead singer. Jackson achieved solo stardom with the release of his fifth album Off the Wall (1979). He followed it up with Thriller (1982), the best-selling album of all time, which catapulted him to a rare level of fame, whilst aiding in the popularization of MTV and revolutionizing the music video medium with the videos for its title track along with ""Beat It"" and ""Billie Jean"". Jackson furthered his position as a global superstar with Bad (1987), the world's best-selling album of both 1987 and 1988, as well as the first album to produce five US Billboard Hot 100 number-one singles: ""I Just Can't Stop Loving You"", ""Bad"", ""The Way You Make Me Feel"", ""Man in the Mirror"", and ""Dirty Diana"". Dangerous (1991) marked a new era for Jackson, lauded as his most artistic and socially conscious album. HIStory (1995) produced ""You Are Not Alone"", the first song to debut at number one on the US Billboard Hot 100. His final album, Invincible, was released in 2001. From the late 1980s, Jackson became a figure of controversy and speculation due to his changing appearance, relationships, behavior, and life","Michael Jackson, 1958 births, 2009 deaths, 20th-century African-American male singers, 20th-century American businesspeople, 20th-century American male singers, 20th-century American singers, 20th-century American songwriters, 21st-century African-American male singers, 21st-century American businesspeople","1958, 2009, 1964, 1968, 1979","Life and career, Early life and the Jackson 5 (1958–1975), Move to Epic and Off the Wall (1975–1981), Thriller, Motown 25: Yesterday, Today, Forever and Pepsi incident (1982–1984), ""We Are the World"" and other commercial activities (1985)","Born: Michael Joseph Jackson(1958-08-29)August 29, 1958Gary, Indiana, US | Died: June 25, 2009(2009-06-25) (aged 50)Los Angeles, California, US | Cause of death: Cardiac arrest caused by acute propofol intoxication | Burial place: Forest Lawn Memorial Park, Glendale, California, US | Other names: Michael Joe Jackson | Occupations: Singersongwriterdancerphilanthropistrecord producer | Spouses: Lisa Marie Presley
​ ​(m. 1994; div. 1996)​
Debbie Rowe
​ ​(m. 1996; div. 2000)​ | Children: 3",2025-06-22 19:28:16
Wikipedia,https://en.wikipedia.org/wiki/Aretha_Franklin,Aretha Franklin,Aretha Franklin,"Aretha Louise Franklin (/əˈriːθə/ ə-REE-thə; March 25, 1942 – August 16, 2018) was an American singer, songwriter and pianist. Honored as the ""Queen of Soul"", she was twice named by Rolling Stone magazine as the greatest singer of all time. As a child, Franklin was noticed for her gospel singing at New Bethel Baptist Church in Detroit, Michigan, where her father C. L. Franklin was a minister. At the age of 18, she was signed as a recording artist for Columbia Records. While her career did not immediately flourish, Franklin found acclaim and commercial success once she signed with Atlantic Records in 1966. She recorded albums such as I Never Loved a Man the Way I Love You (1967), Lady Soul (1968), Spirit in the Dark (1970), Young, Gifted and Black (1972), Amazing Grace (1972), and Sparkle (1976), before experiencing problems with the record company. Franklin left Atlantic in 1979 and signed with Arista Records. Her success continued with the albums Jump to It (1982), Who's Zoomin' Who? (1985), Aretha (1986) and A Rose Is Still a Rose (1998). Franklin is one of the best-selling music artists, with more than 75 million records sold worldwide. She charted 112 singles on the US Billboard charts, including 73 Hot 100 entries, 17 top-ten pop singles, 96 R&B entries and 20 number-one R&B singles. Her best-known hits include ""I Never Loved a Man (The Way I Love You)"" (1967), ""Respect"" (1967), ""(You Make Me Feel Like) A Natural Woman"" (1967), ""Chain of Fools"" (1967), ""Ain't No Way"" (1968), ""Think"" (1968), ""I Say a Little Prayer"" (1968), ""Call Me"" (1970), ""Don't Play That Song (You Lied)"" (1970), ""Spanish Harlem"" (1971), ""Rock Steady"" (1971), ""Day Dreaming"" (1972), ""Until You Come Back to Me (That's What I'm Gonna Do)"" (1973), ""Something He Can Feel"" (1976), ""Jump to It"" (1982), ""Freeway of Love"" (1985), ""Who's Zoomin' Who"" (1985), ""I Knew You Were Waiting (For Me)"" (a duet with George Michael, 1987) and ""A Rose Is Still a Rose"" (1998). She also made a featured appearance in t","Aretha Franklin, 1942 births, 2018 deaths, 20th-century African-American women singers, 20th-century American pianists, 20th-century American singers, 20th-century American women singers, 20th-century American women pianists, 21st-century African-American women singers, 21st-century American composers","1942, 2018, 1966, 1967, 1968","Early life, Musical career, 1952–1960: Beginnings, 1960–1966: Columbia years, 1966–1979: Atlantic years","Born: Aretha Louise Franklin(1942-03-25)March 25, 1942Memphis, Tennessee, U.S. | Died: August 16, 2018(2018-08-16) (aged 76)Detroit, Michigan, U.S. | Resting place: Woodlawn Cemetery, Detroit | Occupations: Singer
songwriter
pianist
civil rights activist
record producer | Years active: 1954–2017 | Spouses: Ted White
​ ​(m. 1961; div. 1969)​
Glynn Turman
​ ​(m. 1978; div. 1984)​ | Children: 4 | Parents: C. L. FranklinBarbara Siggers Franklin",2025-06-22 19:28:18
Wikipedia,https://en.wikipedia.org/wiki/Louis_Armstrong,Louis Armstrong,Louis Armstrong,"Louis Daniel Armstrong (August 4, 1901 – July 6, 1971), nicknamed ""Satchmo"", ""Satch"", and ""Pops"", was an American trumpeter and vocalist. He was among the most influential figures in jazz. His career spanned five decades and several eras in the history of jazz. Armstrong received numerous accolades including the Grammy Award for Best Male Vocal Performance for Hello, Dolly! in 1965, as well as a posthumous win for the Grammy Lifetime Achievement Award in 1972. His influence crossed musical genres, with inductions into the DownBeat Jazz Hall of Fame, the Rock and Roll Hall of Fame, and the National Rhythm & Blues Hall of Fame, among others. Armstrong was born and raised in New Orleans. Coming to prominence in the 1920s as an inventive trumpet and cornet player, he was a foundational influence in jazz, shifting the focus of the music from collective improvisation to solo performance. Around 1922, Armstrong followed his mentor, Joe ""King"" Oliver, to Chicago to play in Oliver's Creole Jazz Band. Armstrong earned a reputation at ""cutting contests"", and his fame reached band leader Fletcher Henderson. Armstrong moved to New York City, where he became a featured and musically influential band soloist and recording artist. By the 1950s, Armstrong was an international musical icon, appearing regularly in radio and television broadcasts and on film. Apart from his music, he was also beloved as an entertainer, often joking with the audience and keeping a joyful public image at all times. Armstrong's best known songs include ""What a Wonderful World"", ""La Vie en Rose"", ""Hello, Dolly!"", ""On the Sunny Side of the Street"", ""Dream a Little Dream of Me"", ""When You're Smiling"" and ""When the Saints Go Marching In"". He collaborated with Ella Fitzgerald, producing three records together: Ella and Louis (1956), Ella and Louis Again (1957), and Porgy and Bess (1959). He also appeared in films such as A Rhapsody in Black and Blue (1932), Cabin in the Sky (1943), High Society (1956), Paris B","Louis Armstrong, 1901 births, 1971 deaths, 20th-century African-American male singers, 20th-century African-American male actors, 20th-century American male actors, 20th-century American male singers, 20th-century American jazz composers, 20th-century American trumpeters, ABC Records artists","1901, 1971, 1965, 1972, 1922","Early life, Career, Riverboat education, Chicago period recordings, Fletcher Henderson Orchestra","Born: Louis Daniel Armstrong[1](1901-08-04)August 4, 1901New Orleans, Louisiana, U.S. | Died: July 6, 1971(1971-07-06) (aged 69)New York City, U.S. | Burial place: Flushing Cemetery | Other names: SatchmoSatchPopsLouie | Education: Colored Waif's Home for Boys, Fisk School for Boys | Occupations: Musiciansinger | Spouses: Daisy Parker
​ ​(m. 1919; div. 1923)​

Lil Hardin Armstrong
​ ​(m. 1924; div. 1938)​

Alpha Smith
​ ​(m. 1938; div. 1942)​

Lucille Wilson ​(m. 1942)​ | Children: 2",2025-06-22 19:28:21
Wikipedia,https://en.wikipedia.org/wiki/Duke_Ellington,Duke Ellington,Duke Ellington,"Edward Kennedy ""Duke"" Ellington (April 29, 1899 – May 24, 1974) was an American jazz pianist, composer, and leader of his eponymous jazz orchestra from 1924 through the rest of his life. Born and raised in Washington, D.C., Ellington was based in New York City from the mid-1920s and gained a national profile through his orchestra's appearances at the Cotton Club in Harlem. A master at writing miniatures for the three-minute 78 rpm recording format, Ellington wrote or collaborated on more than one thousand compositions; his extensive body of work is the largest recorded personal jazz legacy, and many of his pieces have become standards. He also recorded songs written by his bandsmen, such as Juan Tizol's ""Caravan"", which brought a Spanish tinge to big band jazz. At the end of the 1930s, Ellington began a nearly thirty five-year collaboration with composer-arranger-pianist Billy Strayhorn, whom he called his writing and arranging companion. With Strayhorn, he composed multiple extended compositions, or suites, as well as many short pieces. For a few years at the beginning of Strayhorn's involvement, Ellington's orchestra featured bassist Jimmy Blanton and tenor saxophonist Ben Webster, and reached what many claim to be a creative peak for the group. Some years later following a low-profile period, an appearance by Ellington and his orchestra at the Newport Jazz Festival in July 1956 led to a major revival and regular world tours. Ellington recorded for most American record companies of his era, performed in and scored several films, and composed a handful of stage musicals. Although a pivotal figure in the history of jazz, in the opinion of Gunther Schuller and Barry Kernfeld, ""the most significant composer of the genre"", Ellington himself embraced the phrase ""beyond category"", considering it a liberating principle, and referring to his music as part of the more general category of American Music. Ellington was known for his inventive use of the orchestra, or big band","Duke Ellington, 1899 births, 1974 deaths, 20th-century American conductors (music), 20th-century American male musicians, 20th-century American jazz composers, African-American conductors (music), African-American film score composers, African-American jazz composers, African-American jazz pianists","1899, 1974, 1924, 1956, 1999","Early life and education, Career, Early career, Cotton Club engagement, Early 1930s","Birth name: Edward Kennedy Ellington | Born: (1899-04-29)April 29, 1899Washington, D.C., U.S. | Died: May 24, 1974(1974-05-24) (aged 75)New York City, U.S. | Genres: Jazz
swing | Occupations: Pianistcomposersongwriterbandleaderarrangerconductoractor | Instrument: Piano | Discography: Duke Ellington discography",2025-06-22 19:28:23
Wikipedia,https://en.wikipedia.org/wiki/Ancient_Egyptian_race_controversy,Ancient Egyptian race controversy,Ancient Egypt African civilization,"The question of the race of the ancient Egyptians was raised historically as a product of the early racial concepts of the 18th and 19th centuries, and was linked to models of racial hierarchy primarily based on craniometry and anthropometry. A variety of views circulated about the racial identity of the Egyptians and the source of their culture. Some scholars argued that ancient Egyptian culture was influenced by other Afroasiatic-speaking populations in North Africa, the Horn of Africa, or the Middle East, while others pointed to influences from various Nubian groups or populations in Europe. In more recent times, some writers continued to challenge the mainstream view, some focusing on questioning the race of specific notable individuals, such as the king represented in the Great Sphinx of Giza, the native Egyptian pharaoh Tutankhamun, the Egyptian queen Tiye, and the Greek Ptolemaic queen Cleopatra VII. At a UNESCO symposium in 1974, a majority of the international scholars at the event favoured a hypothesis of a mixed population whereas a minority favoured a view of an homogeneous, African population. Mainstream Western scholars reject the notion that Egypt was a ""white"" or ""black"" civilization; they maintain that applying modern notions of black or white races to ancient Egypt is anachronistic. In addition, scholars reject the notion – implicit in a black or white Egypt hypothesis – that ancient Egypt was racially homogeneous; instead, skin colour varied between the peoples of Lower Egypt, Upper Egypt, and Nubia, who rose to power in various eras of ancient Egypt. Within Egyptian history, despite multiple foreign invasions, the demographics were not shifted substantially by large migrations.","Ancient Egyptian race controversy, African and Black nationalism, Ancient Egypt, Eurocentrism, Egyptian nationalism, Fringe theories, Historical revisionism, Politics and race, Pseudohistory, Race (human categorization)",1974,"Background, 1974 UNESCO committee, Position of modern scholarship, Scholarly views on bias, Present-day controversies",,2025-06-22 19:28:26
Wikipedia,https://en.wikipedia.org/wiki/Kingdom_of_Kush,Kingdom of Kush,Kingdom of Kush,"The Kingdom of Kush (/kʊʃ, kʌʃ/; Egyptian: 𓎡𓄿𓈙𓈉 kꜣš, Assyrian: Kûsi, in LXX Χους or Αἰθιοπία; Coptic: ⲉϭⲱϣ Ecōš; Hebrew: כּוּשׁ Kūš), also known as the Kushite Empire, or simply Kush, was an ancient kingdom in Nubia, centered along the Nile Valley in what is now northern Sudan and southern Egypt. The region of Nubia was an early cradle of civilization, producing several complex societies that engaged in trade and industry. The city-state of Kerma emerged as the dominant political force between 2450 and 1450 BC, controlling the Nile Valley between the first and fourth cataracts, an area as large as Egypt. The Egyptians were the first to identify Kerma as ""Kush"" probably from the indigenous ethnonym ""Kasu"", over the next several centuries the two civilizations engaged in intermittent warfare, trade, and cultural exchange. Much of Nubia came under Egyptian rule during the New Kingdom period (1550–1070 BC). Following Egypt's disintegration amid the Late Bronze Age collapse, the Kushites reestablished a kingdom in Napata (now modern Karima, Sudan). Though Kush had developed many cultural affinities with Egypt, such as the veneration of Amun, and the royal families of both kingdoms occasionally intermarried, Kushite culture, language and ethnicity was distinct; Egyptian art distinguished the people of Kush by their dress, appearance, and even method of transportation. In the 8th century BC, King Kashta (""the Kushite"") peacefully became King of Upper Egypt, while his daughter, Amenirdis, was appointed as Divine Adoratrice of Amun in Thebes. His successor Piye invaded Lower Egypt, establishing the Kushite-ruled Twenty-fifth Dynasty. Piye's daughter, Shepenupet II, was also appointed Divine Adoratrice of Amun. The monarchs of Kush ruled Egypt for over a century until the Assyrian conquest, being dethroned by the Assyrian kings Esarhaddon and Ashurbanipal in the mid-seventh century BC. Following the severing of ties with Egypt, the Kushite imperial capital was located at Mero","Kingdom of Kush, States and territories disestablished in the 4th century, States and territories established in the 11th century BC, 350s disestablishments, Roman client kingdoms, Former kingdoms, Former empires","1450, 1550, 1070","Name, History, Prelude, Formation (c. 1070–754 BC), Rule over Egypt (754 BC–656 BC)",Status: Independent (780 BC – 330 AD)Under Aksumite rule (330 AD – 350 AD) | Capital: KermaNapataMeroë | Common languages: MeroiticEgyptian[4]Blemmyan[5]Old Nubian | Religion: Kushite religion[6]Ancient Egyptian religion | Demonym(s): Kushite | Government: Monarchy,2025-06-22 19:28:28
Wikipedia,https://en.wikipedia.org/wiki/Ethiopian_Empire,Ethiopian Empire,Ethiopian Empire,"The Ethiopian Empire,[a] historically known as Abyssinia or simply Ethiopia,[b] was a sovereign state that encompassed the present-day territories of Ethiopia and Eritrea. It existed from the establishment of the Solomonic dynasty by Yekuno Amlak around 1270 until the 1974 coup d'état by the Derg, which ended the reign of the final Emperor, Haile Selassie. In the late 19th century, under Emperor Menelik II, the empire expanded significantly to the south, and in 1952, Eritrea was federated under Selassie's rule. Despite being surrounded by hostile forces throughout much of its history, the empire maintained a kingdom centered on its ancient Christian heritage. Founded in 1270 by Yekuno Amlak, who claimed to descend from the last Aksumite king and ultimately King Solomon and the Queen of Sheba, it replaced the Agaw kingdom of the Zagwe. While initially a rather small and politically unstable entity, the Empire managed to expand significantly under the crusades of Amda Seyon I (1314–1344) and Dawit I (1382–1413), temporarily becoming the dominant force in the Horn of Africa. The Ethiopian Empire would reach its peak during the long reign of Emperor Zara Yaqob (1434–1468). He consolidated the conquests of his predecessors, built numerous churches and monasteries, encouraged literature and art, centralized imperial authority by substituting regional warlords with administrative officials, and significantly expanded his hegemony over adjacent Islamic territories. The neighboring Muslim Adal Sultanate began to threaten the empire by repeatedly attempting to invade it, finally succeeding under Imam Mahfuz. Mahfuz's ambush and defeat by Emperor Lebna Dengel brought about the early 16th-century jihad of the Ottoman-supported Adalite Imam Ahmed Gran, who was defeated in 1543 with the help of the Portuguese. Greatly weakened, much of the Empire's southern territory and vassals were lost due to the Oromo migrations. In the north, in what is now Eritrea, Ethiopia managed to repul","Ethiopian Empire, Countries in precolonial Africa, Christian states, 2nd millennium in Ethiopia, 1270 establishments, 13th-century establishments in Africa, 1974 disestablishments in Ethiopia, Former countries in Africa, Former monarchies, Former monarchies of Africa","1270, 1974, 1952, 1270, 1314","History, Background, Early Solomonic Period, Early modern period, Modern era","Capital: None[note 1] (1270–1635)Gondar (1635–1855)Debre Tabor (1855–1881)Mekelle (1881–1889)Addis Ababa (1889–1974) | Common languages: Amharic (dynastic, official, court)[3][4]Ge'ez (liturgical language, literature)many others | Religion: State religions:Christianity—Orthodox Tewahedo Church (1270–1622 and 1632–1974)–Catholic Church (1622–1632)Unofficial:P'ent'ay EvangelicalismSunni IslamJudaismTraditional African religions | Demonym(s): Endonym: EthiopianExonym: Abyssinian",2025-06-22 19:28:30
Wikipedia,https://en.wikipedia.org/wiki/Great_Zimbabwe,Great Zimbabwe,Great Zimbabwe,"Great Zimbabwe was a city in the south-eastern hills of the modern country of Zimbabwe, near Masvingo. It was settled from 1000 AD, and served as the capital of the Kingdom of Great Zimbabwe from the 13th century. It is the largest stone structure in precolonial Southern Africa. Major construction on the city began in the 11th century until the 15th century, and it was abandoned in the 16th or 17th century. The edifices were erected by ancestors of the Shona people, currently located in Zimbabwe and nearby countries. The stone city spans an area of 7.22 square kilometres (2.79 sq mi) and could have housed up to 18,000 people at its peak, giving it a population density of approximately 2,500 inhabitants per square kilometre (6,500/sq mi). The Zimbabwe state centred on it likely covered 50,000 km² (19,000 sq mi). It is recognised as a World Heritage Site by UNESCO. The site of Great Zimbabwe is composed of the Hill Complex, the Valley Complex, and the Great Enclosure (constructed at different times), and contained area for commoner housing within the perimeter walls. There is disagreement on the functions of the complexes among scholars. Some consider them to have been residences for the royals and elites at different periods of the site, while others infer them to have had separate functions. The Great Enclosure, with its 11 m (36 ft) high dry stone walls (that is, constructed without mortar), was built during the 13th and 14th centuries, and likely served as the royal residence, with demarcated public spaces for rituals. The earliest document mentioning the Great Zimbabwe ruins was in 1531 by Vicente Pegado, captain of the Portuguese garrison of Sofala on the coast of modern-day Mozambique, who recorded it as Symbaoe. The first confirmed visits by Europeans were in the late 19th century, with investigations of the site starting in 1871. Great Zimbabwe and surrounding sites were looted by European antiquarians between the 1890s and 1920s. Some later studies of the mo","Great Zimbabwe, Populated places established in the 11th century, Populated places disestablished in the 15th century, 1450s disestablishments, 1867 archaeological discoveries, 1870s in Zimbabwe, Architecture of Africa, Archaeological sites in Zimbabwe, Buildings and structures completed in the 11th century, Buildings and structures in Masvingo Province","1000, 1531, 1871","Name, History and description, Settlement, Construction and growth, Features of the ruins","Location: Masvingo Province, Zimbabwe | Coordinates: 20°16′S 30°56′E﻿ / ﻿20.267°S 30.933°E﻿ / -20.267; 30.933 | Type: Settlement | Part of: Kingdom of Great Zimbabwe | Area: 7.22 km2 (2.79 sq mi) | Material: Granite | Founded: 11th century CE",2025-06-22 19:28:33
Wikipedia,https://en.wikipedia.org/wiki/Kingdom_of_Benin,Kingdom of Benin,Benin Empire,"The Kingdom of Benin, also known as Great Benin, is a traditional kingdom in southern Nigeria. It has no historical relation to the modern republic of Benin, which was known as Dahomey from the 17th century until 1975. The Kingdom of Benin's capital was Edo, now known as Benin City in Edo State, Nigeria. The Benin Kingdom was one of the oldest and most developed states in the coastal hinterland of West Africa. It grew out of the previous Edo Kingdom of Igodomigodo around the 11th century AD; it was annexed by the British Empire in 1897, but endured as a non-sovereign monarchy. In the 15th and 16th centuries, the kingdom reached the height of its prosperity, expanding its territory, trading with European powers, and creating a remarkable artistic legacy in cast bronze, iron, brass, carved ivory, and other materials. By the 1st century BC, the Benin territory was partially agricultural; and it became primarily agricultural by around A.D. 500, but hunting and gathering of animals still remained important. Also by A.D. 500, iron was in use by the inhabitants of the Benin territory. Benin City (formerly Edo) sprang up by around A.D. 1000, and was located in a forest that could be easily defended. The dense vegetation and narrow paths made the city easy to defend against attacks. The rainforest helped in the development of the city because of its vast resources that could be exploited – fish from rivers and creeks, animals to hunt, leaves for roofing, plants for medicine, ivory for carving and trading, and wood for boat building. However, domesticated animals could not survive due to a disease spread by tsetse flies; after centuries of exposure, some animals, such as cattle and goats, developed a resistance to the disease.","Kingdom of Benin, Archaeological sites in Nigeria, Prehistoric Africa, World Heritage Sites in Nigeria, Historic buildings and structures in Nigeria, Linear earthworks, Former monarchies of Africa, Countries in precolonial Africa, Nigerian traditional states, French West Africa","1975, 1897, 1000","History, Early, Founding, Height of Power, Civil War","Status: Independent until 1897, currently a non-sovereign monarchy within Nigeria | Capital: Edo | Common languages: Edo | Religion: Edo Religion, Catholic Christianity | Government: Monarchy | • 1180–1246 (first): Eweka I",2025-06-22 19:28:35
Wikipedia,https://en.wikipedia.org/wiki/Mali_Empire,Mali Empire,Mali Empire,"The Mali Empire (Manding: Mandé or Manden Duguba; Arabic: مالي, romanized: Mālī) was an empire in West Africa from c. 1226 to 1610. The empire was founded by Sundiata Keita (c. 1214 – c. 1255) and became renowned for the wealth of its rulers, especially Mansa Musa (Musa Keita). At its peak, Mali was the largest empire in West Africa, widely influencing the culture of the region through the spread of its language, laws, and customs. The empire began as a small Mandinka kingdom at the upper reaches of the Niger River, centered around the Manding region. It began to develop during the 11th and 12th centuries as the Ghana Empire, or Wagadu, declined and trade epicentres shifted southward. The history of the Mali Empire before the 13th century is unclear, as there are conflicting and imprecise accounts by both Arab chroniclers and oral traditionalists. The first ruler for which there is accurate written information is Sundiata Keita, a warrior-prince of the Keita dynasty who was called upon to free the local people from the rule of the king of the Sosso Empire, Soumaoro Kanté. The conquest of Sosso in c. 1235 marked the emergence of Mali as a major power, with the Kouroukan Fouga as its constitution. Following the death of Sundiata Keita, in c. 1255, the kings of Mali were referred to by the title mansa. In c. 1285 Sakoura, a former royal court slave, became emperor and was one of Mali's most powerful rulers, greatly expanding the empire's territory. He made a pilgrimage to Mecca during the reign of Mamluk Sultan An-Nasir Muhammad (r. 1298–1308), but died on his voyage home. Mansa Musa took the throne in c. 1312. He made a famous pilgrimage to Mecca from 1324 to 1326, where his generous gifts and his expenditure of gold caused significant inflation in Egypt. Maghan I succeeded him as mansa in 1337, but was deposed by his uncle Suleyman in 1341. It was during Suleyman's 19-year reign that Ibn Battuta visited Mali. Suleyman's death marked the end of Mali's Golden Age and t","Mali Empire, Countries in medieval Africa, Sahelian kingdoms, Former empires in Africa, States and territories established in the 1230s, 13th-century establishments in Africa, States and territories disestablished in 1670, 1670 disestablishments in Africa, Successor states to the Ghana Empire","1226, 1610, 1214, 1255, 1235","Historiography, Etymology of Mali, History, Pre-imperial Mali, Sundiata Keita","Capital: Location disputed - See Capital location section | Common languages: Manding | Religion: Traditional African religion
Islam | Government: Hereditary parliamentary elective monarchy | • 1235–1255: Mari Djata I (first)",2025-06-22 19:28:37
